"Date","Price","Open","High","Low","Vol.","Change %"
"21-08-2008","1.8792","1.8625","1.8795","1.8609","","0.95%"
"20-08-2008","1.8616","1.8677","1.8685","1.8539","","-0.32%"
"19-08-2008","1.8676","1.8638","1.8683","1.8539","","0.17%"
"18-08-2008","1.8644","1.8647","1.8723","1.8621","","-0.11%"
"15-08-2008","1.8665","1.8675","1.8682","1.8516","","-0.13%"
"14-08-2008","1.8689","1.8680","1.8788","1.8620","","-0.02%"
"13-08-2008","1.8693","1.8954","1.9038","1.8638","","-1.44%"
"12-08-2008","1.8966","1.9115","1.9123","1.8953","","-0.72%"
"11-08-2008","1.9104","1.9136","1.9256","1.9069","","-0.51%"
"08-08-2008","1.9201","1.9434","1.9437","1.9147","","-1.21%"
"07-08-2008","1.9437","1.9477","1.9538","1.9421","","-0.20%"
"06-08-2008","1.9475","1.9543","1.9593","1.9467","","-0.33%"
"05-08-2008","1.9540","1.9612","1.9618","1.9522","","-0.37%"
"04-08-2008","1.9613","1.9751","1.9760","1.9601","","-0.70%"
"01-08-2008","1.9752","1.9828","1.9841","1.9728","","-0.42%"
"31-07-2008","1.9835","1.9814","1.9928","1.9783","","0.09%"
"30-07-2008","1.9817","1.9800","1.9840","1.9746","","0.12%"
"29-07-2008","1.9794","1.9947","1.9969","1.9763","","-0.73%"
"28-07-2008","1.9940","1.9892","1.9963","1.9841","","0.18%"
"25-07-2008","1.9905","1.9861","1.9980","1.9832","","0.22%"
"24-07-2008","1.9862","1.9977","1.9990","1.9817","","-0.58%"
"23-07-2008","1.9977","1.9913","2.0030","1.9904","","0.36%"
"22-07-2008","1.9906","2.0023","2.0077","1.9899","","-0.62%"
"21-07-2008","2.0030","1.9951","2.0039","1.9908","","0.25%"
"18-07-2008","1.9981","1.9985","1.9998","1.9908","","-0.16%"
"17-07-2008","2.0014","1.9990","2.0072","1.9950","","0.13%"
"16-07-2008","1.9989","2.0054","2.0098","1.9959","","-0.33%"
"15-07-2008","2.0056","1.9950","2.0146","1.9937","","0.58%"
"14-07-2008","1.9940","1.9882","1.9964","1.9816","","0.20%"
"11-07-2008","1.9901","1.9775","1.9960","1.9753","","0.63%"
"10-07-2008","1.9776","1.9823","1.9832","1.9715","","-0.27%"
"09-07-2008","1.9830","1.9695","1.9835","1.9671","","0.70%"
"08-07-2008","1.9693","1.9758","1.9798","1.9667","","-0.32%"
"07-07-2008","1.9756","1.9825","1.9827","1.9651","","-0.36%"
"04-07-2008","1.9827","1.9829","1.9850","1.9797","","-0.01%"
"03-07-2008","1.9828","1.9934","1.9937","1.9801","","-0.50%"
"02-07-2008","1.9927","1.9946","1.9973","1.9845","","-0.10%"
"01-07-2008","1.9947","1.9931","2.0006","1.9889","","0.10%"
"30-06-2008","1.9928","1.9943","1.9967","1.9881","","-0.09%"
"27-06-2008","1.9945","1.9885","1.9953","1.9812","","0.30%"
"26-06-2008","1.9886","1.9747","1.9896","1.9716","","0.72%"
"25-06-2008","1.9743","1.9710","1.9770","1.9659","","0.18%"
"24-06-2008","1.9708","1.9649","1.9724","1.9625","","0.26%"
"23-06-2008","1.9657","1.9751","1.9758","1.9586","","-0.51%"
"20-06-2008","1.9758","1.9723","1.9791","1.9701","","0.19%"
"19-06-2008","1.9720","1.9591","1.9747","1.9584","","0.67%"
"18-06-2008","1.9588","1.9570","1.9612","1.9478","","0.14%"
"17-06-2008","1.9561","1.9634","1.9700","1.9469","","-0.35%"
"16-06-2008","1.9630","1.9483","1.9688","1.9464","","0.85%"
"13-06-2008","1.9465","1.9460","1.9512","1.9410","","0.04%"
"12-06-2008","1.9457","1.9636","1.9641","1.9434","","-0.90%"
"11-06-2008","1.9633","1.9535","1.9668","1.9493","","0.47%"
"10-06-2008","1.9542","1.9736","1.9750","1.9521","","-1.04%"
"09-06-2008","1.9748","1.9706","1.9801","1.9672","","0.25%"
"06-06-2008","1.9698","1.9582","1.9735","1.9538","","0.60%"
"05-06-2008","1.9581","1.9538","1.9598","1.9463","","0.18%"
"04-06-2008","1.9546","1.9620","1.9639","1.9528","","-0.44%"
"03-06-2008","1.9632","1.9652","1.9739","1.9606","","-0.20%"
